Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2021,Internet,,Richest,,,,NG,75.2
2021,Telephone,,Richest,,,,NG,98.9
2017,Water,,,North  Central,,,NGNCZ06,58.7
2017,Sanitation,,,North  Central,,,NGNCZ06,27.5
2017,Electricity,,,North  Central,,,NGNCZ06,48.1
2017,Radio,,,North  Central,,,NGNCZ06,59.1
2017,Television,,,North  Central,,,NGNCZ06,47.8
2017,Telephone,,,North  Central,,,NGNCZ06,79.9
2021,Water,,,North  Central,,,NGNCZ06,65.6
2021,Sanitation,,,North  Central,,,NGNCZ06,30.3
2021,Radio,,,North  Central,,,NGNCZ06,43.6
2021,Television,,,North  Central,,,NGNCZ06,37.7
2021,Internet,,,North  Central,,,NGNCZ06,30.5
2021,Telephone,,,North  Central,,,NGNCZ06,1.8
2017,Water,,,North East,,,NGNEZ05,52.4
2017,Sanitation,,,North East,,,NGNEZ05,39.2
2017,Electricity,,,North East,,,NGNEZ05,38.7
2017,Radio,,,North East,,,NGNEZ05,54.4
2017,Television,,,North East,,,NGNEZ05,29.3
2017,Telephone,,,North East,,,NGNEZ05,69.1
2021,Water,,,North East,,,NGNEZ05,55.9
2021,Sanitation,,,North East,,,NGNEZ05,40.0
2021,Radio,,,North East,,,NGNEZ05,29.5
2021,Television,,,North East,,,NGNEZ05,14.3
2021,Internet,,,North East,,,NGNEZ05,20.9
2021,Telephone,,,North East,,,NGNEZ05,80.2
2017,Water,,,North West,,,NGNWZ04,58.6
2017,Sanitation,,,North West,,,NGNWZ04,37.9
2017,Electricity,,,North West,,,NGNWZ04,40.6
2017,Radio,,,North West,,,NGNWZ04,59.0
2017,Television,,,North West,,,NGNWZ04,26.4
2017,Telephone,,,North West,,,NGNWZ04,57.8
2021,Water,,,North West,,,NGNWZ04,63.4
2021,Sanitation,,,North West,,,NGNWZ04,36.4
2021,Radio,,,North West,,,NGNWZ04,41.3
2021,Television,,,North West,,,NGNWZ04,22.4
2021,Internet,,,North West,,,NGNWZ04,26.5
2021,Telephone,,,North West,,,NGNWZ04,80.8
2017,Water,,,South East,,,NGSEZ03,80.1
2017,Sanitation,,,South East,,,NGSEZ03,44.1
2017,Electricity,,,South East,,,NGSEZ03,66.3
2017,Radio,,,South East,,,NGSEZ03,65.0
2017,Television,,,South East,,,NGSEZ03,63.8
2017,Telephone,,,South East,,,NGSEZ03,81.9
2021,Water,,,South East,,,NGSEZ03,87.6
2021,Sanitation,,,South East,,,NGSEZ03,58.1
2021,Radio,,,South East,,,NGSEZ03,55.1
2021,Television,,,South East,,,NGSEZ03,62.7
2021,Internet,,,South East,,,NGSEZ03,45.1
2021,Telephone,,,South East,,,NGSEZ03,95.2
2017,Water,,,South South,,,NGSSZ02,75.5
2017,Sanitation,,,South South,,,NGSSZ02,38.3
2017,Electricity,,,South South,,,NGSSZ02,68.6
2017,Radio,,,South South,,,NGSSZ02,57.5
2017,Television,,,South South,,,NGSSZ02,66.7
2017,Telephone,,,South South,,,NGSSZ02,84.4
2021,Water,,,South South,,,NGSSZ02,75.8
2021,Sanitation,,,South South,,,NGSSZ02,40.4
2021,Radio,,,South South,,,NGSSZ02,43.0
2021,Television,,,South South,,,NGSSZ02,50.4
2021,Internet,,,South South,,,NGSSZ02,36.8
2021,Telephone,,,South South,,,NGSSZ02,87.0
2017,Water,,,South West,,,NGSWZ01,87.3
2017,Sanitation,,,South West,,,NGSWZ01,30.6
2017,Electricity,,,South West,,,NGSWZ01,78.1
2017,Radio,,,South West,,,NGSWZ01,65.3
2017,Television,,,South West,,,NGSWZ01,69.9
2017,Telephone,,,South West,,,NGSWZ01,87.9
2021,Water,,,South West,,,NGSWZ01,86.9
2021,Sanitation,,,South West,,,NGSWZ01,32.9
2021,Radio,,,South West,,,NGSWZ01,62.3
2021,Television,,,South West,,,NGSWZ01,60.0
2021,Internet,,,South West,,,NGSWZ01,42.3
2021,Telephone,,,South West,,,NGSWZ01,92.4
2017,Water,,,,None,,NG,54.6
2017,Sanitation,,,,None,,NG,24.4
2021,Water,,,,None,,NG,57.3
2021,Sanitation,,,,None,,NG,26.8
2021,Radio,,,,None,,NG,27.9
2021,Television,,,,None,,NG,4.5
2021,Internet,,,,None,,NG,6.2
2021,Telephone,,,,None,,NG,59.6
2017,Water,,,,Primary,,NG,50.2
2017,Sanitation,,,,Primary,,NG,33.0
2021,Water,,,,Primary,,NG,69.4
2021,Sanitation,,,,Primary,,NG,33.7
2021,Radio,,,,Primary,,NG,44.1
2021,Television,,,,Primary,,NG,30.5
2021,Internet,,,,Primary,,NG,20.4
2021,Telephone,,,,Primary,,NG,84.9
2017,Water,,,,Junior Secondary,,NG,65.3
