Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,Education Level,Ethnicity,State,GeoCode,Value
2021,Upper secondary completion rate,,,,,,,Enugu,NGEN14,73.2
2021,Upper secondary completion rate,,,,,,,Gombe,NGGO15,36.6
2021,Upper secondary completion rate,,,,,,,Imo,NGIM16,83.1
2021,Upper secondary completion rate,,,,,,,Jigawa,NGJI17,19.3
2021,Upper secondary completion rate,,,,,,,Kaduna,NGKD18,49.5
2021,Upper secondary completion rate,,,,,,,Kano,NGKN19,48.7
2021,Upper secondary completion rate,,,,,,,Katsina,NGKT20,31.7
2021,Upper secondary completion rate,,,,,,,Kebbi,NGKE21,24.0
2021,Upper secondary completion rate,,,,,,,Kogi,NGKO22,63.0
2021,Upper secondary completion rate,,,,,,,Kwara,NGKW23,66.3
2021,Upper secondary completion rate,,,,,,,Lagos,NGLA24,84.7
2021,Upper secondary completion rate,,,,,,,Nasarawa,NGNA25,46.7
2021,Upper secondary completion rate,,,,,,,Niger,NGNI26,50.5
2021,Upper secondary completion rate,,,,,,,Ogun,NGOG27,62.4
2021,Upper secondary completion rate,,,,,,,Ondo,NGON28,72.7
2021,Upper secondary completion rate,,,,,,,Osun,NGOS29,72.2
2021,Upper secondary completion rate,,,,,,,Oyo,NGOY30,63.9
2021,Upper secondary completion rate,,,,,,,Plateau,NGPL31,50.9
2021,Upper secondary completion rate,,,,,,,Rivers,NGRI32,76.5
2021,Upper secondary completion rate,,,,,,,Sokoto,NGSO33,22.1
2021,Upper secondary completion rate,,,,,,,Taraba,NGTA34,38.5
2021,Upper secondary completion rate,,,,,,,Yobe,NGYO35,30.9
2021,Upper secondary completion rate,,,,,,,Zamfara,NGZA36,36.2
2021,Upper secondary completion rate,,,,,,,Federal Capital Territory,NGFC37,66.9
