Year,Series,Sector,Delivery coverage,Health service,Geopolitical Zone,State,GeoCode,Value
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Jigawa,NGJI17,16.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Kaduna,NGKD18,35.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Kano,NGKN19,15.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Katsina,NGKT20,17.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Kebbi,NGKE21,12.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Kogi,NGKO22,76.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Kwara,NGKW23,61.6
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Lagos,NGLA24,79.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Nasarawa,NGNA25,44.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Niger,NGNI26,21.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Ogun,NGOG27,77.8
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Ondo,NGON28,73.5
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Osun,NGOS29,73.4
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Oyo,NGOY30,74.9
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Plateau,NGPL31,43.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Rivers,NGRI32,80.0
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Sokoto,NGSO33,12.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Taraba,NGTA34,22.3
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Yobe,NGYO35,9.2
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Zamfara,NGZA36,10.7
2017,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,Federal Capital Territory,NGFC37,61.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Abia,NGAB01,33.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Adamawa,NGAD02,29.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Akwa Ibom,NGAK03,44.2
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Anambra,NGAN04,55.2
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Bauchi,NGBA05,13.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Bayelsa,NGBY06,28.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Benue,NGBE07,37.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Borno,NGBO08,31.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Cross River,NGXR09,49.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Delta,NGDE10,36.3
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Ebonyi,NGEB11,35.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Edo,NGED12,45.7
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Ekiti,NGEK13,48.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Enugu,NGEN14,50.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Gombe,NGGO15,16.7
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Imo,NGIM16,43.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Jigawa,NGJI17,1.8
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Kaduna,NGKD18,24.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Kano,NGKN19,9.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Katsina,NGKT20,5.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Kebbi,NGKE21,4.8
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Kogi,NGKO22,29.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Kwara,NGKW23,33.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Lagos,NGLA24,68.1
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Nasarawa,NGNA25,21.4
