Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2017,Internet,,,,,Kwara,
2017,Telephone,,,,,Kwara,67.6
2021,Water,,,,,Kwara,81.4
2021,Sanitation,,,,,Kwara,24.4
2021,Electricity,,,,,Kwara,78.9
2021,Radio,,,,,Kwara,60.4
2021,Television,,,,,Kwara,58.2
2021,Internet,,,,,Kwara,34.3
2021,Telephone,,,,,Kwara,90.2
2017,Water,,,,,Lagos,93.6
2017,Sanitation,,,,,Lagos,44.0
2017,Electricity,,,,,Lagos,99.1
2017,Radio,,,,,Lagos,64.6
2017,Television,,,,,Lagos,88.2
2017,Internet,,,,,Lagos,
2017,Telephone,,,,,Lagos,95.4
2021,Water,,,,,Lagos,97.9
2021,Sanitation,,,,,Lagos,43.7
2021,Electricity,,,,,Lagos,98.9
2021,Radio,,,,,Lagos,69.7
2021,Television,,,,,Lagos,89.8
2021,Internet,,,,,Lagos,65.0
2021,Telephone,,,,,Lagos,97.2
2017,Water,,,,,Nasarawa,54.8
2017,Sanitation,,,,,Nasarawa,27.0
2017,Electricity,,,,,Nasarawa,31.5
2017,Radio,,,,,Nasarawa,56.6
2017,Television,,,,,Nasarawa,40.7
2017,Internet,,,,,Nasarawa,
2017,Telephone,,,,,Nasarawa,78.2
2021,Water,,,,,Nasarawa,55.7
2021,Sanitation,,,,,Nasarawa,30.2
2021,Electricity,,,,,Nasarawa,44.6
2021,Radio,,,,,Nasarawa,38.7
2021,Television,,,,,Nasarawa,30.3
2021,Internet,,,,,Nasarawa,19.7
2021,Telephone,,,,,Nasarawa,88.9
2017,Water,,,,,Niger,52.9
2017,Sanitation,,,,,Niger,33.1
2017,Electricity,,,,,Niger,55.0
2017,Radio,,,,,Niger,58.3
2017,Television,,,,,Niger,48.6
2017,Internet,,,,,Niger,
2017,Telephone,,,,,Niger,80.6
2021,Water,,,,,Niger,68.5
2021,Sanitation,,,,,Niger,23.8
2021,Electricity,,,,,Niger,57.0
2021,Radio,,,,,Niger,43.6
2021,Television,,,,,Niger,37.9
2021,Internet,,,,,Niger,26.3
2021,Telephone,,,,,Niger,92.0
2017,Water,,,,,Ogun,88.6
2017,Sanitation,,,,,Ogun,31.5
2017,Electricity,,,,,Ogun,75.8
2017,Radio,,,,,Ogun,63.5
2017,Television,,,,,Ogun,68.5
2017,Internet,,,,,Ogun,
2017,Telephone,,,,,Ogun,87.4
2021,Water,,,,,Ogun,74.8
2021,Sanitation,,,,,Ogun,34.2
2021,Electricity,,,,,Ogun,60.2
2021,Radio,,,,,Ogun,62.2
2021,Television,,,,,Ogun,49.8
2021,Internet,,,,,Ogun,35.5
2021,Telephone,,,,,Ogun,88.5
2017,Water,,,,,Ondo,79.6
2017,Sanitation,,,,,Ondo,21.9
2017,Electricity,,,,,Ondo,58.3
2017,Radio,,,,,Ondo,67.4
2017,Television,,,,,Ondo,56.1
2017,Internet,,,,,Ondo,
2017,Telephone,,,,,Ondo,77.0
2021,Water,,,,,Ondo,79.7
2021,Sanitation,,,,,Ondo,26.0
2021,Electricity,,,,,Ondo,43.2
2021,Radio,,,,,Ondo,63.7
2021,Television,,,,,Ondo,34.3
2021,Internet,,,,,Ondo,34.6
2021,Telephone,,,,,Ondo,89.5
2017,Water,,,,,Osun,88.5
2017,Sanitation,,,,,Osun,24.7
2017,Electricity,,,,,Osun,74.0
2017,Radio,,,,,Osun,68.5
2017,Television,,,,,Osun,60.4
2017,Internet,,,,,Osun,
2017,Telephone,,,,,Osun,87.2
2021,Water,,,,,Osun,91.9
2021,Sanitation,,,,,Osun,25.9
2021,Electricity,,,,,Osun,78.6
2021,Radio,,,,,Osun,55.6
2021,Television,,,,,Osun,53.3
2021,Internet,,,,,Osun,32.2
2021,Telephone,,,,,Osun,93.2
2017,Water,,,,,Oyo,82.8
2017,Sanitation,,,,,Oyo,21.6
2017,Electricity,,,,,Oyo,68.9
2017,Radio,,,,,Oyo,63.7
2017,Television,,,,,Oyo,63.1
2017,Internet,,,,,Oyo,
2017,Telephone,,,,,Oyo,85.6
2021,Water,,,,,Oyo,81.9
2021,Sanitation,,,,,Oyo,25.4
2021,Electricity,,,,,Oyo,71.9
2021,Radio,,,,,Oyo,55.6
2021,Television,,,,,Oyo,50.6
2021,Internet,,,,,Oyo,31.2
2021,Telephone,,,,,Oyo,88.4
2017,Water,,,,,Plateau,42.9
2017,Sanitation,,,,,Plateau,26.8
2017,Electricity,,,,,Plateau,39.8
2017,Radio,,,,,Plateau,57.0
2017,Television,,,,,Plateau,45.4
2017,Internet,,,,,Plateau,
2017,Telephone,,,,,Plateau,79.0
2021,Water,,,,,Plateau,50.3
2021,Sanitation,,,,,Plateau,25.1
2021,Electricity,,,,,Plateau,31.2
