Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2019,"Proportion of schools access basic services, by type of service",,,,,Imo,Availability of toilet/laterine,Percentage (%),NGIM16,49.0
2019,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Availability of toilet/laterine,Percentage (%),NGJI17,62.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Availability of toilet/laterine,Percentage (%),NGKD18,60.8
2019,"Proportion of schools access basic services, by type of service",,,,,Kano,Availability of toilet/laterine,Percentage (%),NGKN19,73.5
2019,"Proportion of schools access basic services, by type of service",,,,,Katsina,Availability of toilet/laterine,Percentage (%),NGKT20,96.7
2019,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Availability of toilet/laterine,Percentage (%),NGKE21,58.7
2019,"Proportion of schools access basic services, by type of service",,,,,Kogi,Availability of toilet/laterine,Percentage (%),NGKO22,13.9
2019,"Proportion of schools access basic services, by type of service",,,,,Kwara,Availability of toilet/laterine,Percentage (%),NGKW23,58.6
2019,"Proportion of schools access basic services, by type of service",,,,,Lagos,Availability of toilet/laterine,Percentage (%),NGLA24,95.9
2019,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Availability of toilet/laterine,Percentage (%),NGNA25,33.8
2019,"Proportion of schools access basic services, by type of service",,,,,Niger,Availability of toilet/laterine,Percentage (%),NGNI26,55.5
2019,"Proportion of schools access basic services, by type of service",,,,,Ogun,Availability of toilet/laterine,Percentage (%),NGOG27,68.5
2019,"Proportion of schools access basic services, by type of service",,,,,Ondo,Availability of toilet/laterine,Percentage (%),NGON28,54.5
2019,"Proportion of schools access basic services, by type of service",,,,,Osun,Availability of toilet/laterine,Percentage (%),NGOS29,69.1
2019,"Proportion of schools access basic services, by type of service",,,,,Oyo,Availability of toilet/laterine,Percentage (%),NGOY30,56.4
2019,"Proportion of schools access basic services, by type of service",,,,,Plateau,Availability of toilet/laterine,Percentage (%),NGPL31,38.8
2019,"Proportion of schools access basic services, by type of service",,,,,Rivers,Availability of toilet/laterine,Percentage (%),NGRI32,57.5
2019,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Availability of toilet/laterine,Percentage (%),NGSO33,51.8
2019,"Proportion of schools access basic services, by type of service",,,,,Taraba,Availability of toilet/laterine,Percentage (%),NGTA34,41.7
2019,"Proportion of schools access basic services, by type of service",,,,,Yobe,Availability of toilet/laterine,Percentage (%),NGYO35,75.6
2019,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Availability of toilet/laterine,Percentage (%),NGZA36,76.0
2019,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Availability of toilet/laterine,Percentage (%),NGFC37,91.8
2019,"Proportion of schools access basic services, by type of service",,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,23.6
2019,"Proportion of schools access basic services, by type of service",,,,North Central,,Availiabilty of Handwashing Facilities,Percentage (%),NGNCZ06,20.4
2019,"Proportion of schools access basic services, by type of service",,,,North East,,Availiabilty of Handwashing Facilities,Percentage (%),NGNEZ05,16.1
2019,"Proportion of schools access basic services, by type of service",,,,North West,,Availiabilty of Handwashing Facilities,Percentage (%),NGNWZ04,16.7
2019,"Proportion of schools access basic services, by type of service",,,,South East,,Availiabilty of Handwashing Facilities,Percentage (%),NGSEZ03,32.1
2019,"Proportion of schools access basic services, by type of service",,,,South South,,Availiabilty of Handwashing Facilities,Percentage (%),NGSSZ02,31.2
2019,"Proportion of schools access basic services, by type of service",,,,South West,,Availiabilty of Handwashing Facilities,Percentage (%),NGSWZ01,38.0
2019,"Proportion of schools access basic services, by type of service",Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,35.9
2019,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,28.9
2019,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,38.8
2019,"Proportion of schools access basic services, by type of service",Rural,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,19.7
2019,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,26.2
2019,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,17.5
