Year,Series,Sector,Wealth Index Quintile,Geopolitical zone,State,Units,GeoCode,Value
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Enugu,Percentage (%),NGEN14,8.8
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Gombe,Percentage (%),NGGO15,9.9
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Imo,Percentage (%),NGIM16,12.9
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Jigawa,Percentage (%),NGJI17,37.3
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kaduna,Percentage (%),NGKD18,33.2
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kano,Percentage (%),NGKN19,11.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Katsina,Percentage (%),NGKT20,30.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kebbi,Percentage (%),NGKE21,28.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kogi,Percentage (%),NGKO22,3.9
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kwara,Percentage (%),NGKW23,12.2
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Lagos,Percentage (%),NGLA24,34.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Nasarawa,Percentage (%),NGNA25,26.4
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Niger,Percentage (%),NGNI26,11.8
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ogun,Percentage (%),NGOG27,7.9
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ondo,Percentage (%),NGON28,6.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Osun,Percentage (%),NGOS29,21.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Oyo,Percentage (%),NGOY30,7.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Plateau,Percentage (%),NGPL31,7.8
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Rivers,Percentage (%),NGRI32,37.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Sokoto,Percentage (%),NGSO33,3.1
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Taraba,Percentage (%),NGTA34,3.0
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Yobe,Percentage (%),NGYO35,20.6
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Zamfara,Percentage (%),NGZA36,6.5
2021,Proportion of population using (b) a hand-washing facility with soap and water,,,,Federal Capital Territory,Percentage (%),NGFC37,20.8
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,,Percentage (%),NG,15.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,North Central,,Percentage (%),NGNCZ06,10.5
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,North East,,Percentage (%),NGNEZ05,8.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,North West,,Percentage (%),NGNWZ04,25.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,South East,,Percentage (%),NGSEZ03,11.9
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,South South,,Percentage (%),NGSSZ02,20.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,South West,,Percentage (%),NGSWZ01,9.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,Urban,,,,Percentage (%),NG,18.8
2019,Proportion of population using (b) a hand-washing facility with soap and water,Peri-Urban,,,,Percentage (%),NG,17.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,Urban-Urban,,,,Percentage (%),NG,19.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,Rural,,,,Percentage (%),NG,13.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,Itenerant,,,,Percentage (%),NG,14.8
2019,Proportion of population using (b) a hand-washing facility with soap and water,Rural-Rural,,,,Percentage (%),NG,13.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,Small Town,,,,Percentage (%),NG,15.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,Poorest,,,Percentage (%),NG,12.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,Second,,,Percentage (%),NG,11.2
2019,Proportion of population using (b) a hand-washing facility with soap and water,,Middle,,,Percentage (%),NG,10.9
2019,Proportion of population using (b) a hand-washing facility with soap and water,,Fourth,,,Percentage (%),NG,14.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,Richest,,,Percentage (%),NG,27.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Abia,Percentage (%),NGAB01,10.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Adamawa,Percentage (%),NGAD02,15.2
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Akwa Ibom,Percentage (%),NGAK03,14.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Anambra,Percentage (%),NGAN04,19.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Bauchi,Percentage (%),NGBA05,1.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Bayelsa,Percentage (%),NGBY06,8.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Benue,Percentage (%),NGBE07,5.0
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Borno,Percentage (%),NGBO08,11.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Cross River,Percentage (%),NGXR09,31.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Delta,Percentage (%),NGDE10,19.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ebonyi,Percentage (%),NGEB11,0.7
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Edo,Percentage (%),NGED12,18.2
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Ekiti,Percentage (%),NGEK13,10.5
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Enugu,Percentage (%),NGEN14,13.9
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Gombe,Percentage (%),NGGO15,2.1
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Imo,Percentage (%),NGIM16,9.2
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Jigawa,Percentage (%),NGJI17,49.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kaduna,Percentage (%),NGKD18,24.4
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Kano,Percentage (%),NGKN19,29.3
2019,Proportion of population using (b) a hand-washing facility with soap and water,,,,Katsina,Percentage (%),NGKT20,8.1
