Year,Series,Severity,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Units,GeoCode,Value
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,North  Central,,,,Percentage (%),NGNCZ06,28.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,North East,,,,Percentage (%),NGNEZ05,29.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,North West,,,,Percentage (%),NGNWZ04,26.2
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,South East,,,,Percentage (%),NGSEZ03,26.7
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,South South,,,,Percentage (%),NGSSZ02,27.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,South West,,,,Percentage (%),NGSWZ01,24.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,None,,,Percentage (%),NG,27.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,Primary,,,Percentage (%),NG,28.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,Junior Secondary,,,Percentage (%),NG,28.9
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,Senior Secondary,,,Percentage (%),NG,27.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,Higher/Tertiary,,,Percentage (%),NG,22.1
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Hausa,,Percentage (%),NG,26.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Igbo,,Percentage (%),NG,25.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Yoruba,,Percentage (%),NG,25.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Fulani,,Percentage (%),NG,23.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Kanuri,,Percentage (%),NG,34.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Ijaw,,Percentage (%),NG,21.8
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Tiv,,Percentage (%),NG,21.4
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Ibibio,,Percentage (%),NG,29.6
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Edo,,Percentage (%),NG,28.3
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,Other ethnicity,,Percentage (%),NG,30.0
2021,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Severe,,,,,,Abia,Percentage (%),NGAB01,21.2
