Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North West,Female,Percentage (%),NGNWZ04,100.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South East,Female,Percentage (%),NGSEZ03,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South South,Female,Percentage (%),NGSSZ02,4.9
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South West,Female,Percentage (%),NGSWZ01,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Urban,,Female,Percentage (%),NG,10.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Rural,,Female,Percentage (%),NG,9.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,,Male,Percentage (%),NG,17.9
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North Central,Male,Percentage (%),NGNCZ06,28.6
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North East,Male,Percentage (%),NGNEZ05,16.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North West,Male,Percentage (%),NGNWZ04,23.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South East,Male,Percentage (%),NGSEZ03,25.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South South,Male,Percentage (%),NGSSZ02,6.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South West,Male,Percentage (%),NGSWZ01,16.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Urban,,Male,Percentage (%),NG,20.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Rural,,Male,Percentage (%),NG,17.5
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,,Female,Percentage (%),NG,23.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North Central,Female,Percentage (%),NGNCZ06,32.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North East,Female,Percentage (%),NGNEZ05,36.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North West,Female,Percentage (%),NGNWZ04,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South East,Female,Percentage (%),NGSEZ03,53.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South South,Female,Percentage (%),NGSSZ02,8.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South West,Female,Percentage (%),NGSWZ01,46.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Urban,,Female,Percentage (%),NG,30.9
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Rural,,Female,Percentage (%),NG,22.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,,Male,Percentage (%),NG,32.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North Central,Male,Percentage (%),NGNCZ06,30.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North East,Male,Percentage (%),NGNEZ05,64.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North West,Male,Percentage (%),NGNWZ04,29.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South East,Male,Percentage (%),NGSEZ03,32.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South South,Male,Percentage (%),NGSSZ02,17.6
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South West,Male,Percentage (%),NGSWZ01,10.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Urban,,Male,Percentage (%),NG,14.1
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),Rural,,Male,Percentage (%),NG,35.4
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,,Female,Percentage (%),NG,11.7
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North Central,Female,Percentage (%),NGNCZ06,55.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North East,Female,Percentage (%),NGNEZ05,20.8
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,North West,Female,Percentage (%),NGNWZ04,0.0
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Customary Certificate of Occupancy (CCoFo),,South East,Female,Percentage (%),NGSEZ03,8.0
