Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South East,,,NGSEZ03,77.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South South,,,NGSSZ02,61.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,South West,,,NGSWZ01,76.1
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Abia,,NGAB01,66.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Adamawa,,NGAD02,79.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Akwa Ibom,,NGAK03,72.1
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Anambra,,NGAN04,86.5
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Bauchi,,NGBA05,38.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Bayelsa,,NGBY06,28.2
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Benue,,NGBE07,57.0
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Borno,,NGBO08,44.0
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Cross River,,NGXR09,45.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Delta,,NGDE10,56.2
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ebonyi,,NGEB11,86.1
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Edo,,NGED12,81.3
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ekiti,,NGEK13,68.2
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Enugu,,NGEN14,72.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Gombe,,NGGO15,42.4
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Imo,,NGIM16,74.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Jigawa,,NGJI17,23.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kaduna,,NGKD18,54.5
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kano,,NGKN19,54.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Katsina,,NGKT20,67.9
