Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ekiti,Units,Percentage (%),NGEK13,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Enugu,Units,Percentage (%),NGEN14,2.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Gombe,Units,Percentage (%),NGGO15,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Imo,Units,Percentage (%),NGIM16,2.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Jigawa,Units,Percentage (%),NGJI17,3.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kaduna,Units,Percentage (%),NGKD18,5.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kano,Units,Percentage (%),NGKN19,7.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Katsina,Units,Percentage (%),NGKT20,4.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kebbi,Units,Percentage (%),NGKE21,2.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kogi,Units,Percentage (%),NGKO22,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kwara,Units,Percentage (%),NGKW23,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Lagos,Units,Percentage (%),NGLA24,6.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Nasarawa,Units,Percentage (%),NGNA25,1.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Niger,Units,Percentage (%),NGNI26,2.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ogun,Units,Percentage (%),NGOG27,2.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ondo,Units,Percentage (%),NGON28,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Osun,Units,Percentage (%),NGOS29,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Oyo,Units,Percentage (%),NGOY30,3.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Plateau,Units,Percentage (%),NGPL31,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Rivers,Units,Percentage (%),NGRI32,3.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Sokoto,Units,Percentage (%),NGSO33,3.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Taraba,Units,Percentage (%),NGTA34,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Yobe,Units,Percentage (%),NGYO35,1.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Zamfara,Units,Percentage (%),NGZA36,2.5
