Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical Zone,Education Level,Ethnicity,State,Age group,Units,GeoCode,Value
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ekiti,,Percentage (%),NGEK13,42.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Enugu,,Percentage (%),NGEN14,43.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Gombe,,Percentage (%),NGGO15,24.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Imo,,Percentage (%),NGIM16,40.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Jigawa,,Percentage (%),NGJI17,9.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kaduna,,Percentage (%),NGKD18,36.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kano,,Percentage (%),NGKN19,37.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Katsina,,Percentage (%),NGKT20,23.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kebbi,,Percentage (%),NGKE21,38.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kogi,,Percentage (%),NGKO22,41.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Kwara,,Percentage (%),NGKW23,63.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Lagos,,Percentage (%),NGLA24,61.2
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Nasarawa,,Percentage (%),NGNA25,40.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Niger,,Percentage (%),NGNI26,33.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ogun,,Percentage (%),NGOG27,37.0
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Ondo,,Percentage (%),NGON28,44.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Osun,,Percentage (%),NGOS29,46.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Oyo,,Percentage (%),NGOY30,54.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Plateau,,Percentage (%),NGPL31,43.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Rivers,,Percentage (%),NGRI32,36.0
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Sokoto,,Percentage (%),NGSO33,30.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Taraba,,Percentage (%),NGTA34,25.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Yobe,,Percentage (%),NGYO35,37.7
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Zamfara,,Percentage (%),NGZA36,27.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,Federal Capital Territory,,Percentage (%),NGFC37,57.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,15-19,Percentage (%),NG,18.1
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,15-17,Percentage (%),NG,15.8
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,18-19,Percentage (%),NG,18.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,20-24,Percentage (%),NG,29.6
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,25-29,Percentage (%),NG,32.5
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,30-34,Percentage (%),NG,39.3
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,35-39,Percentage (%),NG,44.9
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,40-44,Percentage (%),NG,47.4
2021,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,45-49,Percentage (%),NG,48.2
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,15-19,Percentage (%),NG,1.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,20-24,Percentage (%),NG,7.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,25-29,Percentage (%),NG,10.3
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,30-34,Percentage (%),NG,13.1
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,35-39,Percentage (%),NG,12.8
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,40-44,Percentage (%),NG,13.6
2017,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,,,,,,,,45-49,Percentage (%),NG,11.5
