Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Gombe,NGGO15,32.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Imo,NGIM16,30.9
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Jigawa,NGJI17,27.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Kaduna,NGKD18,22.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Kano,NGKN19,23.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Katsina,NGKT20,36.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Kebbi,NGKE21,29.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Kogi,NGKO22,30.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Kwara,NGKW23,26.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Lagos,NGLA24,32.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Nasarawa,NGNA25,24.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Niger,NGNI26,26.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Ogun,NGOG27,28.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Ondo,NGON28,32.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Osun,NGOS29,30.3
