Year,Series,Measure,State,GeoCode,Value
2023,Death rate due to road traffic injuries,Number Injured,Ekiti,NGEK13,189
2023,Death rate due to road traffic injuries,Number Injured,Enugu,NGEN14,517
2023,Death rate due to road traffic injuries,Number Injured,Federal Capital Territory,NGFC37,2475
2023,Death rate due to road traffic injuries,Number Injured,Gombe,NGGO15,1064
2023,Death rate due to road traffic injuries,Number Injured,Imo,NGIM16,274
2023,Death rate due to road traffic injuries,Number Injured,Jigawa,NGJI17,1368
2023,Death rate due to road traffic injuries,Number Injured,Kaduna,NGKD18,2907
2023,Death rate due to road traffic injuries,Number Injured,Kano,NGKN19,978
2023,Death rate due to road traffic injuries,Number Injured,Katsina,NGKT20,559
2023,Death rate due to road traffic injuries,Number Injured,Kebbi,NGKE21,450
2023,Death rate due to road traffic injuries,Number Injured,Kogi,NGKO22,1383
2023,Death rate due to road traffic injuries,Number Injured,Kwara,NGKW23,1154
2023,Death rate due to road traffic injuries,Number Injured,Lagos,NGLA24,730
2023,Death rate due to road traffic injuries,Number Injured,Nasarawa,NGNA25,1813
2023,Death rate due to road traffic injuries,Number Injured,Niger,NGNI26,1937
2023,Death rate due to road traffic injuries,Number Injured,Ogun,NGOG27,2433
2023,Death rate due to road traffic injuries,Number Injured,Ondo,NGON28,942
2023,Death rate due to road traffic injuries,Number Injured,Osun,NGOS29,1011
2023,Death rate due to road traffic injuries,Number Injured,Oyo,NGOY30,1321
2023,Death rate due to road traffic injuries,Number Injured,Plateau,NGPL31,958
2023,Death rate due to road traffic injuries,Number Injured,Rivers,NGRI32,148
2023,Death rate due to road traffic injuries,Number Injured,Sokoto,NGSO33,273
2023,Death rate due to road traffic injuries,Number Injured,Taraba,NGTA34,492
2023,Death rate due to road traffic injuries,Number Injured,Yobe,NGYO35,953
2023,Death rate due to road traffic injuries,Number Injured,Zamfara,NGZA36,333
2023,Death rate due to road traffic injuries,Number Injured,,NG,31873
